"customer_key","customer_name","gender","customer_country","customer_continent","order_count","units_purchased","revenue_usd","profit_usd","avg_line_revenue_usd","first_order_date","last_order_date","customer_lifespan_days"
"301","Lilly Harding","Female","Australia","Australia","1","2","592.00","395.86","592.00","2019-11-11","2019-11-11","0"
"325","Madison Hull","Female","Australia","Australia","3","27","5787.67","3380.07","578.77","2018-01-13","2020-01-04","721"
"554","Claire Ferres","Female","Australia","Australia","2","14","951.71","504.33","237.93","2018-01-04","2019-12-05","700"
"1042","Aidan Pankhurst","Male","Australia","Australia","1","6","1124.91","732.17","374.97","2018-03-06","2018-03-06","0"
"1314","Isaac Israel","Male","Australia","Australia","1","13","2539.86","1489.01","507.97","2017-12-19","2017-12-19","0"
"1568","Luke Virtue","Male","Australia","Australia","4","24","4922.43","2583.23","546.94","2019-12-31","2021-02-10","407"
"1585","Anna Hallstrom","Female","Australia","Australia","2","20","6700.62","3927.78","1675.16","2018-02-26","2019-02-28","367"
"1626","Mary Leach","Female","Australia","Australia","2","15","2940.35","1541.20","735.09","2018-12-13","2020-02-22","436"
"1642","Ruby Ambrose","Female","Australia","Australia","1","2","115.98","62.64","115.98","2019-05-21","2019-05-21","0"
"1863","Chelsea Watkins","Female","Australia","Australia","2","14","2198.25","1400.98","274.78","2020-03-11","2020-08-08","150"
"2238","Isabelle Cochran","Female","Australia","Australia","2","6","579.94","382.46","193.31","2018-05-25","2020-03-06","651"
"2248","Rory Spargo","Male","Australia","Australia","1","8","869.92","479.96","434.96","2019-01-13","2019-01-13","0"
"2435","Lilian Hall","Female","Australia","Australia","2","12","2474.97","1321.25","618.74","2016-10-11","2018-02-02","479"
"2469","Phoebe Kneeshaw","Female","Australia","Australia","1","6","158.76","77.80","79.38","2019-11-07","2019-11-07","0"
"2512","Matilda Hake","Female","Australia","Australia","2","19","3575.08","1824.36","715.02","2019-03-06","2020-02-29","360"
"2792","Zachary Perkin","Male","Australia","Australia","1","1","70.13","37.88","70.13","2019-05-06","2019-05-06","0"
"3002","Joshua Aronson","Male","Australia","Australia","1","10","932.27","476.07","310.76","2016-02-26","2016-02-26","0"
"3203","Aidan Kane","Male","Australia","Australia","2","25","6206.66","3507.76","775.83","2018-01-24","2018-12-15","325"
"3327","Alannah Le Messurier","Female","Australia","Australia","1","8","2851.00","1500.76","950.33","2018-08-11","2018-08-11","0"
